Nume_actiune, Timestamp
changeSection,27-04-2021 21:07:15
displayBookAge,27-04-2021 21:07:15
calculateDaysAvailable,27-04-2021 21:07:15
getBooksByAuthor,27-04-2021 21:07:15
addBook,27-04-2021 21:07:15
sortBooks,27-04-2021 21:07:15
printReader,27-04-2021 21:07:15
removeBook,27-04-2021 21:07:15
printReader,27-04-2021 21:07:15
removeAllBooks,27-04-2021 21:07:15
printReader,27-04-2021 21:07:15
getReadersByAge,27-04-2021 21:07:15
sortReadersAlphabetically,27-04-2021 21:07:15
changeSection,27-04-2021 21:17:42
displayBookAge,27-04-2021 21:17:42
calculateDaysAvailable,27-04-2021 21:17:42
getBooksByAuthor,27-04-2021 21:17:42
addBook,27-04-2021 21:17:42
sortBooks,27-04-2021 21:17:42
printReader,27-04-2021 21:17:42
removeBook,27-04-2021 21:17:42
changeSection,27-04-2021 21:30:51
displayBookAge,27-04-2021 21:30:51
calculateDaysAvailable,27-04-2021 21:30:51
getBooksByAuthor,27-04-2021 21:30:51
addBook,27-04-2021 21:30:51
sortBooks,27-04-2021 21:30:51
printReader,27-04-2021 21:30:51
removeBook,27-04-2021 21:30:51
printReader,27-04-2021 21:30:51
removeAllBooks,27-04-2021 21:30:51
printReader,27-04-2021 21:30:51
getReadersByAge,27-04-2021 21:30:51
sortReadersAlphabetically,27-04-2021 21:30:51
changeSection,23-05-2021 22:52:39
displayBookAge,23-05-2021 22:52:39
calculateDaysAvailable,23-05-2021 22:52:39
getBooksByAuthor,23-05-2021 22:52:39
addBook,23-05-2021 22:52:39
sortBooks,23-05-2021 22:52:39
printReader,23-05-2021 22:52:39
removeBook,23-05-2021 22:52:39
printReader,23-05-2021 22:52:39
removeAllBooks,23-05-2021 22:52:39
printReader,23-05-2021 22:52:39
getReadersByAge,23-05-2021 22:52:39
sortReadersAlphabetically,23-05-2021 22:52:39
changeSection,23-05-2021 23:05:34
displayBookAge,23-05-2021 23:05:34
calculateDaysAvailable,23-05-2021 23:05:34
getBooksByAuthor,23-05-2021 23:05:34
addBook,23-05-2021 23:05:34
sortBooks,23-05-2021 23:05:34
printReader,23-05-2021 23:05:34
removeBook,23-05-2021 23:05:34
printReader,23-05-2021 23:05:34
removeAllBooks,23-05-2021 23:05:34
printReader,23-05-2021 23:05:34
getReadersByAge,23-05-2021 23:05:34
sortReadersAlphabetically,23-05-2021 23:05:34
changeSection,23-05-2021 23:06:32
displayBookAge,23-05-2021 23:06:32
calculateDaysAvailable,23-05-2021 23:06:32
getBooksByAuthor,23-05-2021 23:06:32
addBook,23-05-2021 23:06:32
sortBooks,23-05-2021 23:06:32
printReader,23-05-2021 23:06:32
removeBook,23-05-2021 23:06:32
printReader,23-05-2021 23:06:32
removeAllBooks,23-05-2021 23:06:32
printReader,23-05-2021 23:06:32
getReadersByAge,23-05-2021 23:06:32
sortReadersAlphabetically,23-05-2021 23:06:32
changeSection,23-05-2021 23:08:16
displayBookAge,23-05-2021 23:08:16
calculateDaysAvailable,23-05-2021 23:08:16
getBooksByAuthor,23-05-2021 23:08:16
addBook,23-05-2021 23:08:16
sortBooks,23-05-2021 23:08:16
printReader,23-05-2021 23:08:16
removeBook,23-05-2021 23:08:16
printReader,23-05-2021 23:08:16
removeAllBooks,23-05-2021 23:08:16
printReader,23-05-2021 23:08:16
getReadersByAge,23-05-2021 23:08:16
sortReadersAlphabetically,23-05-2021 23:08:16
changeSection,23-05-2021 23:10:16
displayBookAge,23-05-2021 23:10:16
calculateDaysAvailable,23-05-2021 23:10:16
getBooksByAuthor,23-05-2021 23:10:16
addBook,23-05-2021 23:10:16
sortBooks,23-05-2021 23:10:16
printReader,23-05-2021 23:10:16
removeBook,23-05-2021 23:10:16
printReader,23-05-2021 23:10:16
removeAllBooks,23-05-2021 23:10:16
printReader,23-05-2021 23:10:16
getReadersByAge,23-05-2021 23:10:16
sortReadersAlphabetically,23-05-2021 23:10:16
changeSection,23-05-2021 23:17:21
displayBookAge,23-05-2021 23:17:22
calculateDaysAvailable,23-05-2021 23:17:22
getBooksByAuthor,23-05-2021 23:17:22
addBook,23-05-2021 23:17:22
sortBooks,23-05-2021 23:17:22
printReader,23-05-2021 23:17:22
removeBook,23-05-2021 23:17:22
printReader,23-05-2021 23:17:22
removeAllBooks,23-05-2021 23:17:22
printReader,23-05-2021 23:17:22
getReadersByAge,23-05-2021 23:17:22
sortReadersAlphabetically,23-05-2021 23:17:22
changeSection,23-05-2021 23:30:16
displayBookAge,23-05-2021 23:30:16
calculateDaysAvailable,23-05-2021 23:30:16
getBooksByAuthor,23-05-2021 23:30:16
addBook,23-05-2021 23:30:16
sortBooks,23-05-2021 23:30:16
printReader,23-05-2021 23:30:16
removeBook,23-05-2021 23:30:16
printReader,23-05-2021 23:30:16
removeAllBooks,23-05-2021 23:30:16
printReader,23-05-2021 23:30:16
getReadersByAge,23-05-2021 23:30:16
sortReadersAlphabetically,23-05-2021 23:30:16
changeSection,23-05-2021 23:33:30
displayBookAge,23-05-2021 23:33:30
calculateDaysAvailable,23-05-2021 23:33:30
getBooksByAuthor,23-05-2021 23:33:30
addBook,23-05-2021 23:33:30
sortBooks,23-05-2021 23:33:30
printReader,23-05-2021 23:33:30
removeBook,23-05-2021 23:33:30
printReader,23-05-2021 23:33:30
removeAllBooks,23-05-2021 23:33:30
printReader,23-05-2021 23:33:30
getReadersByAge,23-05-2021 23:33:30
sortReadersAlphabetically,23-05-2021 23:33:30
changeSection,25-05-2021 17:46:28
displayBookAge,25-05-2021 17:46:28
calculateDaysAvailable,25-05-2021 17:46:29
getBooksByAuthor,25-05-2021 17:46:29
addBook,25-05-2021 17:46:29
sortBooks,25-05-2021 17:46:29
printReader,25-05-2021 17:46:29
removeBook,25-05-2021 17:46:29
printReader,25-05-2021 17:46:29
removeAllBooks,25-05-2021 17:46:29
printReader,25-05-2021 17:46:29
getReadersByAge,25-05-2021 17:46:29
sortReadersAlphabetically,25-05-2021 17:46:29
changeSection,25-05-2021 18:26:19
displayBookAge,25-05-2021 18:26:19
calculateDaysAvailable,25-05-2021 18:26:19
